Brain,pixel_dimensions,scaling_factor,ctb_area_um_sqrd,ctb_area_mm_sqrd,LMN_ctb_area_um,LMN_ctb_area_mm
JG_55,1600x1200,0.904,830875,0.83,302037,0.302037313
JG_61,1600x1200,0.904,630605,0.63,56840.64166,0.056840642
JG_65,1600x1200,0.904,2596577,2.6,532700.6152,0.532700615
JG_84,4800x3600,0.904,,,,0
JG_85,1600x1200,0.904,928364,0.93,155362.5682,0.155362568
JG_86,1600x1200,0.904,347723,0.35,31079.5417,0.031079542
JG_87,1600x1200,0.904,72507,0.07,3711.795072,0.003711795
JG_89,1600x1200,0.904,273814,0.27,87201.8505,0.08720185
JG_90,1600x1200,0.904,37857,0.04,4574.775168,0.004574775
JG_91,1600x1200,0.904,274143,0.27,52190.68262,0.052190683
JG_93,1600x1200,0.904,318641,0.32,670.934336,0.000670934
JG_94,1600x1200,0.904,944546,0.94,185855.3488,0.185855349
JG_95,1600x1200,0.904,156585,0.16,0,0
JG_96,1600x1200,0.904,378498,0.38,0,0
JG_97,1600x1200,0.904,28527,0.03,11796.51296,0.011796513
